2019-11-08	XESG	20.64
2019-11-07	XESG	20.64
2019-11-06	XESG	20.51
2019-11-05	XESG	20.51
2019-11-04	XESG	20.50
2019-11-01	XESG	20.16
2019-10-31	XESG	20.16
2019-10-30	XESG	20.22
2019-10-29	XESG	20.16
2019-10-28	XESG	20.16
2019-10-25	XESG	20.06
2019-10-24	XESG	20.06
2019-10-23	XESG	20.15
2019-10-22	XESG	20.15
2019-10-21	XESG	20.11
2019-10-18	XESG	20.06
2019-10-17	XESG	20.16
2019-10-16	XESG	20.15
2019-10-15	XESG	20.15
2019-10-11	XESG	20.06
2019-10-10	XESG	20.06
2019-10-09	XESG	20.06
2019-10-08	XESG	19.99
2019-10-07	XESG	20.11
2019-10-04	XESG	19.96
2019-10-03	XESG	19.96
2019-10-02	XESG	19.89
2019-10-01	XESG	20.17
2019-09-30	XESG	20.45
2019-09-27	XESG	20.56
2019-09-26	XESG	20.56
2019-09-25	XESG	20.56
2019-09-24	XESG	20.57
2019-09-23	XESG	20.71
2019-09-20	XESG	20.75
2019-09-19	XESG	20.73
2019-09-18	XESG	20.67
2019-09-17	XESG	20.58
2019-09-16	XESG	20.58
2019-09-13	XESG	20.55
2019-09-12	XESG	20.30
2019-09-11	XESG	20.30
2019-09-10	XESG	20.30
2019-09-09	XESG	20.21
2019-09-06	XESG	20.27
2019-09-05	XESG	20.31
2019-09-04	XESG	20.10
2019-09-03	XESG	20.00
2019-08-30	XESG	20.00
2019-08-29	XESG	20.00
2019-08-28	XESG	19.75
2019-08-27	XESG	19.75
2019-08-26	XESG	19.70
2019-08-23	XESG	19.87
2019-08-22	XESG	19.87
2019-08-21	XESG	19.89
2019-08-20	XESG	19.90
2019-08-19	XESG	19.90
2019-08-16	XESG	19.69
2019-08-15	XESG	19.52
2019-08-14	XESG	19.61
2019-08-13	XESG	20.01
2019-08-12	XESG	19.85
2019-08-09	XESG	19.94
2019-08-08	XESG	19.94
2019-08-07	XESG	19.88
2019-08-06	XESG	19.65
2019-08-02	XESG	19.88
2019-08-01	XESG	20.22
2019-07-31	XESG	20.15
2019-07-30	XESG	20.17
2019-07-29	XESG	20.17
2019-07-26	XESG	20.24
2019-07-25	XESG	20.18
2019-07-24	XESG	20.20
2019-07-23	XESG	20.20
2019-07-22	XESG	20.20
2019-07-19	XESG	20.20
2019-07-18	XESG	20.15
2019-07-17	XESG	20.16
2019-07-16	XESG	20.16
2019-07-15	XESG	20.16
2019-07-12	XESG	20.16
2019-07-11	XESG	20.25
2019-07-10	XESG	20.25
2019-07-09	XESG	20.18
2019-07-08	XESG	20.18
2019-07-05	XESG	20.24
2019-07-04	XESG	20.21
2019-07-03	XESG	20.21
2019-07-02	XESG	20.13
2019-06-28	XESG	19.98
2019-06-27	XESG	19.94
2019-06-26	XESG	20.04
2019-06-25	XESG	20.04
2019-06-24	XESG	20.17
2019-06-21	XESG	20.18
2019-06-20	XESG	20.22
2019-06-19	XESG	20.15
2019-06-18	XESG	20.25
2019-06-17	XESG	20.04
2019-06-14	XESG	19.99
2019-06-13	XESG	19.88
2019-06-12	XESG	19.87
2019-06-11	XESG	19.89
2019-06-10	XESG	19.88
2019-06-07	XESG	19.88
2019-06-06	XESG	19.87
2019-06-05	XESG	19.86
2019-06-04	XESG	19.62
2019-06-03	XESG	19.62
2019-05-31	XESG	19.62
2019-05-30	XESG	19.77
2019-05-29	XESG	19.99
2019-05-28	XESG	19.99
2019-05-27	XESG	19.89
2019-05-24	XESG	19.89
2019-05-23	XESG	19.80
2019-05-22	XESG	20.09
2019-05-21	XESG	20.15
2019-05-17	XESG	20.15
2019-05-16	XESG	20.14
2019-05-15	XESG	20.02
2019-05-14	XESG	20.02
2019-05-13	XESG	19.84
2019-05-10	XESG	20.00
2019-05-09	XESG	20.10
2019-05-08	XESG	20.22
2019-05-07	XESG	20.12
2019-05-06	XESG	20.16
2019-05-03	XESG	20.24
2019-05-02	XESG	20.24
2019-05-01	XESG	20.30
2019-04-30	XESG	20.48
2019-04-29	XESG	20.48
2019-04-26	XESG	20.39
2019-04-25	XESG	20.34
2019-04-24	XESG	20.44
2019-04-23	XESG	20.37
2019-04-22	XESG	20.37
2019-04-18	XESG	20.38
2019-04-17	XESG	20.33
2019-04-16	XESG	20.33
2019-04-15	XESG	20.31
2019-04-12	XESG	20.17
2019-04-11	XESG	20.17
2019-04-10	XESG	20.12
2019-04-09	XESG	20.04
2019-04-08	XESG	20.08
2019-04-05	XESG	20.08
2019-04-04	XESG	19.99
